asset	anything valuable or useful
autarky	(esp of a political unit) a system or policy of economic self-sufficiency aimed at removing the need for imports
automation	the use of methods for controlling industrial processes automatically, esp by electronically controlled systems, often reducing manpower
balanced budget	a budget in which current expenditures are equal to receipts
balance of payments	the difference over a given time between total payments to foreign nations, arising from imports of goods and services and transfers abroad of capital, interest, grants, etc, and total receipts from foreign nations, arising from exports of goods and services and transfers from abroad of capital, interest, grants, etc
balance of trade	the difference in value between total exports and total imports of goods
balance sheet	a statement that shows the financial position of a business enterprise at a specified date by listing the asset balances and the claims on such assets
bank	an institution offering certain financial services, such as the safekeeping of money, conversion of domestic into and from foreign currencies, lending of money at interest, and acceptance of bills of exchange
bankruptcy	the state, condition, or quality of being or becoming bankrupt
barriers to entry	barriers to exit
barter	trade by the exchange of goods
base rate	the rate of interest used by individual commercial banks as a basis for their lending rates
bear market	a situation in which the price of shares is falling
bid	a statement by a buyer, in response to an offer by a seller, of the more favourable terms that would be acceptable
black economy	that portion of the income of a nation that remains illegally undeclared either as a result of payment in kind or as a means of tax avoidance
boom	a period of high economic growth characterized by rising wages, profits, and prices, full employment, and high levels of investment, trade, and other economic activity
boycott	to refuse to have dealings with (a person, organization, etc) or refuse to buy (a product) as a protest or means of coercion
bridging loan	a loan made to cover the period between two transactions, such as the buying of another house before the sale of the first is completed
budget	an itemized summary of expected income and expenditure of a country, company, etc, over a specified period, usually a financial year
budget deficit	the amount by which government expenditure exceeds income from taxation, customs duties, etc, in any one fiscal year
building society	(in the UK) a cooperative organization that accepts deposits of money from savers and uses them to make loans, secured by mortgages, to house buyers. Since 1986 they have been empowered to offer banking services
bull market	a situation in which people are eager to buy shares because they think prices will rise
business cycle	the recurrent fluctuation between boom and depression in the economic activity of a capitalist country
buyer's market	a state of trade favourable to the buyer, with relatively large supply and low prices
capacity	the ability to do or produce (often in the phrase at capacity)
capital	material wealth owned by an individual or business enterprise
capital good	goods that are themselves utilized in the production of other goods rather than being sold to consumers
capitalism	an economic system based on the private ownership of the means of production, distribution, and exchange, characterized by the freedom of capitalists to operate or manage their property for profit in competitive conditions
cartel	a collusive international association of independent enterprises formed to monopolize production and distribution of a product or service, control prices, etc
cash	banknotes and coins, esp in hand or readily available; money or ready money
central bank	a national bank that does business mainly with a government and with other banks: it regulates the volume and cost of credit
Chamber of Commerce	an organization composed mainly of local businesspeople to promote, regulate, and protect their interests
closed shop	(formerly) an industrial establishment in which there exists a contract between a trade union and the employer permitting the employment of the union's members only
collective bargaining	negotiation between one or more trade unions and one or more employers or an employers' organization on the incomes and working conditions of the employees
command economy or planned economy	an economy in which business activities and the allocation of resources are determined by government order rather than market forces
commercial bank or clearing bank	a bank primarily engaged in making short-term loans from funds deposited in current accounts
commission	the fee allotted to an agent for services rendered
commodity	something of use, advantage, or profit
common market	the European Economic Community
comparative advantage	the principle that each country should produce what it can most efficiently and trade with other countries for the goods it cannot produce as efficiently
conspicuous consumption	spending in a lavish or ostentatious way, esp to impress others with one's wealth
consumer	a person who acquires goods and services for his or her own personal needs
consumer good	goods that satisfy personal needs rather than those required for the production of other goods or services
consumption	expenditure on goods and services for final personal use
cooperative	a cooperative organization
corporation	a group of people authorized by law to act as a legal personality and having its own powers, duties, and liabilities
corporation tax	a British tax on the profits of a company or other incorporated body
cost-benefit analysis	an analysis that takes into account the costs of a project and its benefits to society, as well as the revenue it generates
cost effectiveness	the ability to achieve the desired result at minimum cost
cost of living	the average expenditure of a person or family in a given period
cost-push inflation	a progressive increase in the general level of prices brought about by autonomous increases in costs
credit	a sum of money or equivalent purchasing power, as at a shop, available for a person's use
credit controls	(in a business) the practice of maximizing revenue by making sure that customers are a good credit risk
credit squeeze	the control of credit facilities as an instrument of economic policy, associated with restrictions on bank loans and overdrafts, raised interest rates, etc
