Abdomen	The tummy area from the lower ribs to the pelvis.
Abdominal	Of the abdomen.
Abortion	Ending a pregnancy using either medicines (medical abortion) or an operation (surgical abortion).
Acute	Sudden and severe.
Adenomyosis	Endometriosis in the muscle wall of the uterus.
Adhesions	Scars that connects two or more body structures together.
Amniocentesis	A way of testing the fluid surrounding a baby in the womb by taking a small sample with a needle put into the womb through the abdomen. It can be carried out after the 15th week of pregnancy, and can detect some conditions, like Down syndrome.
Amniotic fluid	The watery liquid surrounding and protecting the growing fetus in the uterus.
Amniotic sac	The pregnancy sac containing the baby and the amniotic fluid. It is sometimes also called "the membranes".
Anaemia	A condition when the level of haemoglobin, the protein in blood which carries oxygen round the body, is lower than normal. It can be mild or severe and can cause tiredness, breathlessness, fainting, headaches. It can also cause your heart to beat faster.
Anaesthesia	A medical way of relieving pain.
Anaesthetist	A doctor trained to administer anaesthetics.
Anal sphincter	The muscle around the anus that is squeezed to prevent passing wind or opening the bowels involuntarily.
Anaphylaxis	Anaphylaxis is a severe and potentially life-threatening allergic reaction that needs immediate treatment.
Anomaly scan	A detailed ultrasound scan offered between 18 and 21 weeks of pregnancy which checks for physical conditions than may affect your baby. It cannot detect all conditions.
Antiphospholipid syndrome	A condition caused by your immune system mistakenly attacking healthy cells in your body. It can increase your risk of blood clots and of pregnancy complications such as recurrent miscarriage or stillbirth
Antenatal	(prenatal)	Before birth.
Anthracyclines	Antibiotic drugs used in cancer chemotherapy.
Antibiotics	Medicines to fight an infection caused by bacteria.
Antibody	Blood protein that helps fight attacks on the immune system, such as those caused by bacteria and viruses.
Anticoagulant medication	Medicines to reduce clotting in the blood vessels.
anti-D	See RhD antigen.
Antigen	A substance in the blood that helps trigger the immune system to develop antibodies. See blood group.
anti-inflammatory drugs	Medicines to stop or reduce swelling and redness.
Antiretroviral drugs/therapy	Medicines used to block the action of retroviruses (such as the HIV/AIDS virus) and the progress of infection. See also HAART, HIV and retrovirus.
Antispasmodic drugs	Drugs which relieve cramps or spasms of the stomach, intestines, bladder and womb (uterus).
Anus	The opening of the rectum to the outside of the body.
Assisted birth	When special instruments (forceps or ventouse) are used to help deliver the baby during the pushing part of labour.
instrumental birth	When special instruments (forceps or ventouse) are used to help deliver the baby during the pushing part of labour.
operative vaginal delivery	When special instruments (forceps or ventouse) are used to help deliver the baby during the pushing part of labour.
Assisted conception	Treatments to help people conceive a baby. See also: intrauterine insemination, in vitro fertilisation, intracytoplasmic sperm injection, donor insemination.
assisted reproductive techniques	Treatments to help people conceive a baby. See also: intrauterine insemination, in vitro fertilisation, intracytoplasmic sperm injection, donor insemination.
ART	Treatments to help people conceive a baby. See also: intrauterine insemination, in vitro fertilisation, intracytoplasmic sperm injection, donor insemination.
Autoimmune response	When the body produces antibodies which react against the body’s own tissues.
Bacteria	Tiny organisms that may cause certain infections.
Bacterial vaginosis	A very common vaginal infection which results in discharge and soreness. It is caused by an imbalance in the types of bacteria in the vagina. It is not sexually transmitted and does not affect men.
Bicornuate uterus	A heart-shaped uterus. Usually the uterus would be pear-shaped.
BV	A very common vaginal infection which results in discharge and soreness. It is caused by an imbalance in the types of bacteria in the vagina. It is not sexually transmitted and does not affect men.
Bicornuate uterus womb	A heart-shaped uterus. Usually the uterus would be pear-shaped.
Bile acids	Bile acids are made in your liver and they help you to digest fat and fat soluble vitamins. Intrahepatic cholestasis of pregnancy (obstetric cholestasis) is where you have a build up of bile acids in your body.
Biopsy	The taking of a small sample of tissue for examination.
Birth asphyxia	When a baby has experienced a reduced level of oxygen around the time of birth. Affected babies may not breathe normally and may have a low heart rate.
Bladder	The organ in the pelvis which stores urine before it is passed out through the urethra.
Bladder training	A way of teaching your bladder to hold more urine. It helps to reduce the number of times you need to pass urine and reduce urgency.
Blood group	The way blood is classified by proteins (known as antigens) on the surface of your red blood cells. Group A blood has A antigens, group B blood has B antigens, group AB blood has both A and B antigens and group O blood has no antigens.
Body mass index	A measurement to work out the range of healthy weights for a person. It is calculated by dividing your weight (in kilograms) by your height (in metres squared – that is, your height in metres multiplied by itself). The healthy range is between 19 and 25.
BMI	A measurement to work out the range of healthy weights for a person. It is calculated by dividing your weight (in kilograms) by your height (in metres squared – that is, your height in metres multiplied by itself). The healthy range is between 19 and 25.
Brachial plexus injury	Damage to the nerves in a baby’s neck.
BRCA	The name “BRCA” is an abbreviation for “BReast CAncer gene.” BRCA1 and BRCA2 are two different genes that have been found to impact a person's chances of developing cancer. Every human has both the BRCA1 and BRCA2 genes, which play an essential role in keeping our DNA intact.  Alterations (mutations) causing loss of function in either of these genes are associated with an increased risk of breast and ovarian cancer. Mutations in BRCA2 are also associated with prostate and pancreatic carcinoma, melanoma and sarcomas.
Breech position	When the baby is lying bottom first in the womb.
CA125	A protein in the blood that is raised in ovarian cancer. It can also be raised in endometriosis, pregnancy and infection.
Caesarean birth	An operation in which a baby is born through a cut made in the wall of the abdomen and the uterus. It may be done as a planned (elective) or an emergency procedure.
Cancer	A disease of the cells.
Candida albicans	See vaginal thrush.
Cardiotocography	A machine which traces the baby’s heart rate and the woman’s contractions before and during birth to assess the baby’s wellbeing.
CTG	A machine which traces the baby’s heart rate and the woman’s contractions before and during birth to assess the baby’s wellbeing.
Catheter	A small tube that can be passed through a part of the body, for example through the urethra (to empty the bladder).
Cell	The tiny building blocks which make up the organs and tissues of the body.
Cephalhaematoma	A bruise on the newborn’s head caused by a suction cup being used to help deliver the baby.
Cervical screening	An internal swab test to check your cervix is healthy. It is sometimes called a smear test.
Cervix	The entrance or neck of the womb, at the top of the vagina.
Chickenpox	A viral infection (also called herpes zoster, varicella or varicella zoster). If a pregnant woman catches chickenpox, it may cause problems for her baby.
Chignon	A swelling on the baby’s head as a result of a ventouse birth. It settles within a day or so.
Chlamydia trachomatis	A sexually transmitted infection which can damage the reproductive system of both men and women if it is not treated promptly. Chlamydia is treated with antibiotics. Both partners require treatment.
Cholesterol	The name for a group of blood fats. It includes LDL, or low-density lipoprotein, which is ‘bad’ cholesterol; HDL, or high-density lipoprotein, which is ‘good’ cholesterol; and triglycerides (TG). A high level of cholesterol in the blood is a major risk factor for heart attack and indirectly increases your risk of stroke.
Chocolate cysts	Cysts which form on the ovaries in some women who have endometriosis. Also known as endometriomas.
Chorioamnionitis	An infection inside the uterus affecting the membranes (called the chorion and amnion) which surround the amniotic fluid.
Chromosomal abnormality	A different number or arrangement of chromosomes from the usual pattern.
Chromosomes	The genetic structures within cells which contain our DNA (the material that carries genetic information). A normal cell contains 46 chromosomes. See also gene.
Chronic	Something that persists or continues for at least six months.
Clear margins	When no cell changes are present along the edge of tissue removed during treatment for cervical cell changes.
Clinical guidelines	Statements based on properly researched evidence which help healthcare professionals and patients to make decisions about medical care and treatments.
Clitoris	A small organ under a fold of skin at the top of the vulva. The external part is about the size of a pea. When a woman is sexually aroused it swells with blood and produces feelings of sexual pleasure when stimulated.
