acute angle	an angle that is less than 90°
addition	a mathematical operation in which the sum of two numbers or quantities is calculated. Usually indicated by the symbol +
algorithm	recursive procedure whereby an infinite sequence of terms can be generated
algorism	a recursive procedure whereby an infinite sequence of terms can be generated
angle	the extent to which one such line or plane diverges from another, measured in degrees or radians
arc	a section of a curve, graph, or geometric figure
area	the two-dimensional extent of the surface of a solid, or of some part thereof, esp one bounded by a closed curve
average	the result obtained by adding the numbers or quantities in a set and dividing the total by the number of members in the set
axis	one of two or three reference lines used in coordinate geometry to locate a point in a plane or in space
base	the number of distinct single-digit numbers in a counting system, and so the number represented as 10 in a place-value system
binary	of, relating to, or expressed in binary notation or binary code
binomial	a mathematical expression consisting of two terms, such as 3x + 2y
cardinal number	a number denoting quantity but not order in a set
Cartesian coordinates	a system of representing points in space in terms of their distance from a given origin measured along a set of mutually perpendicular axes. Written (x,y,z) with reference to three axes
chord	a straight line connecting two points on a curve or curved surface
circle	a closed plane curve every point of which is equidistant from a given fixed point, the centre. Equation: (x –h)2 + (y –k)2 = r2 where r is the radius and (h, k) are the coordinates of the centre; area πr2; circumference: 2πr
circumference	the boundary of a specific area or geometric figure, esp of a circle
closed set	a set that includes all the values obtained by application of a given operation to its members
coefficient	a numerical or constant factor in an algebraic term
common denominator	an integer exactly divisible by each denominator of a group of fractions: , , and have a common denominator of 12
common factor	a number or quantity that is a factor of each member of a group of numbers or quantities
complex number	any number of the form a + ib, where a and b are real numbers and i = √–1
concentric	having a common centre
cone	a geometric solid consisting of a plane base bounded by a closed curve, often a circle or an ellipse, every point of which is joined to a fixed point, the vertex, lying outside the plane of the base. A right circular cone has a vertex perpendicularly above or below the centre of a circular base. Volume of a cone: πr2h, where r is the radius of the base and h is the height of the cone
constant	a symbol representing an unspecified number that remains invariable throughout a particular series of operations
coordinate or co-ordinate	any of a set of numbers that defines the location of a point in space
cosecant	(of an angle) a trigonometric function that in a right-angled triangle is the ratio of the length of the hypotenuse to that of the opposite side; the reciprocal of sine
cosine	a trigonometric function that in a right-angled triangle is the ratio of the length of the adjacent side to that of the hypotenuse; the sine of the complement
cotangent	(of an angle) a trigonometric function that in a right-angled triangle is the ratio of the length of the adjacent side to that of the opposite side; the reciprocal of tangent
cube	a solid having six plane square faces in which the angle between two adjacent sides is a right angle
cube root	the number or quantity whose cube is a given number or quantity: 2 is the cube root of 8 (usually written 3√ 8 or 81⁄3)
cuboid	a geometric solid whose six faces are rectangles; rectangular parallelepiped
curve	a system of points whose coordinates satisfy a given equation; a locus of points
cusp	a point at which two arcs of a curve intersect and at which the two tangents are coincident
cylinder	a solid consisting of two parallel planes bounded by identical closed curves, usually circles, that are interconnected at every point by a set of parallel lines, usually perpendicular to the planes. Volume base area × length
decagon	a polygon having ten sides
decimal	a fraction that has a denominator of a power of ten, the power depending on or deciding the decimal place. It is indicated by a decimal point to the left of the numerator, the denominator being omitted. Zeros are inserted between the point and the numerator, if necessary, to obtain the correct decimal place
denary	calculated by tens; based on ten; decimal
denominator	the divisor of a fraction, as 8 in
diagonal	any oblique row of squares of the same colour
diameter	a straight line connecting the centre of a geometric figure, esp a circle or sphere, with two points on the perimeter or surface
digit	any of the ten Arabic numerals from 0 to 9
division	a mathematical operation, the inverse of multiplication, in which the quotient of two numbers or quantities is calculated. Usually written: a ÷ b, , a/b,
dodecahedron	a solid figure having twelve plane faces. A regular dodecahedron has regular pentagons as faces
ellipse	a closed conic section shaped like a flattened circle and formed by an inclined plane that does not cut the base of the cone. Standard equation x2/a2 + y2/b2 = 1, where 2a and 2b are the lengths of the major and minor axes. Area: πab
equals	same in number, amount, degree, rank, or quality
equation	a mathematical statement that two expressions are equal: it is either an identity in which the variables can assume any value, or a conditional equation in which the variables have only certain values (roots)
equilateral	a geometric figure having all its sides of equal length
even	(of a number) divisible by two
exponential	an exponential function, etc
factor	one of two or more integers or polynomials whose product is a given integer or polynomial
factorial	the product of all the positive integers from one up to and including a given integer. Factorial zero is assigned the value of one: factorial four is 1 × 2 × 3 × 4. Symbol: n!, where n is the given integer
formula	a general relationship, principle, or rule stated, often as an equation, in the form of symbols
fraction	a ratio of two expressions or numbers other than zero
frequency	the number of times that an event occurs within a given period; rate of recurrence
function	a relation between two sets that associates a unique element (the value) of the second (the range) with each element (the argument) of the first (the domain): a many-one relation. Symbol: f(x) The value of f(x) for x = 2 is f(2)
graph	a drawing depicting the relation between certain sets of numbers or quantities by means of a series of dots, lines, etc, plotted with reference to a set of axes
helix	a curve that lies on a cylinder or cone, at a constant angle to the line segments making up the surface; spiral
hemisphere	one half of a sphere
heptagon	a polygon having seven sides
hexagon	a polygon having six sides
hyperbola	a conic section formed by a plane that cuts both bases of a cone; it consists of two branches asymptotic to two intersecting fixed lines and has two foci. Standard equation: x2/a2 – y2/b2 = 1 where 2a is the distance between the two intersections with the x-axis and b = a√(e2 – 1), where e is the eccentricity
hypotenuse	the side in a right-angled triangle that is opposite the right angle
icosahedron	a solid figure having 20 faces. The faces of a regular icosahedron are equilateral triangles
imaginary number	any complex number of the form ib, where i = √–1
improper fraction	a fraction in which the numerator has a greater absolute value or degree than the denominator, as or (x2 + 3)/(x + 1)
index	a number or variable placed as a superscript to the left of a radical sign indicating by its value the root to be extracted, as in 3√8 = 2
infinity	the concept of a value greater than any finite numerical value
integer	any rational number that can be expressed as the sum or difference of a finite number of units, being a member of the set …–3, –2, –1, 0, 1, 2, 3…
integral	the limit of an increasingly large number of increasingly smaller quantities, related to the function that is being integrated (the integrand). The independent variables may be confined within certain limits (definite integral) or in the absence of limits (indefinite integral)
intersection	a point or set of points common to two or more geometric configurations
irrational number	any real number that cannot be expressed as the ratio of two integers, such as π
isosceles	(of a triangle) having two sides of equal length; (of a trapezium) having the two nonparallel sides of equal length
locus	a set of points whose location satisfies or is determined by one or more specified conditions
logarithm or log	the exponent indicating the power to which a fixed number, the base, must be raised to obtain a given number or variable. It is used esp to simplify multiplication and division: if ax = M, then the logarithm of M to the base a (written logaM) is x
lowest common denominator	the smallest integer or polynomial that is exactly divisible by each denominator of a set of fractions
lowest common multiple	the smallest number or quantity that is exactly divisible by each member of a set of numbers or quantities
Mandelbrot set	a set of points in the complex plane that is self-replicating according to some predetermined rule such that the boundary of the set has fractal dimensions, used in the study of fractal geometry and in producing patterns in computer graphics
matrix	a substance, situation, or environment in which something has its origin, takes form, or is enclosed
mean	the second and third terms of a proportion, as b and c in a/b = c/d
median	a straight line joining one vertex of a triangle to the midpoint of the opposite side
minus	reduced by the subtraction of
mode	that one of a range of values that has the highest frequency as determined statistically
multiplication	an arithmetical operation, defined initially in terms of repeated addition, usually written a × b, a.b, or ab, by which the product of two quantities is calculated: to multiply a by positive integral b is to add a to itself b times. Multiplication by fractions can then be defined in the light of the associative and commutative properties; multiplication by 1/n is equivalent to multiplication by 1 followed by division by n: for example 0.3 × 0.7 = 0.3 × = (0.3 × 7)/10 = 2 = 0.21
